mol%CeO2,"Ms (K, Eddie)","T0 (K, Eddie)",Ms (K),T0 (K),T0 (C),"T0 (C, corr)"
0.0,1297.9,1485.8,1217.0,1367.0,1094.0,1203.456174927011
0.100502513,1293.520116,1479.154624,1212.620116,1360.354624,1087.354624,1196.810798927011
0.201005025,1289.086794,1472.4948789999999,1208.186794,1353.694879,1080.694879,1190.151053927011
0.301507538,1284.600036,1465.820765,1203.700036,1347.020765,1074.020765,1183.476939927011
0.40201005,1280.0598400000001,1459.132282,1199.15984,1340.332282,1067.332282,1176.788456927011
0.502512563,1275.466208,1452.4294289999998,1194.566208,1333.6294289999998,1060.6294289999998,1170.0856039270109
0.603015075,1270.819138,1445.7122060000002,1189.919138,1326.912206,1053.912206,1163.368380927011
0.703517588,1266.118632,1438.980615,1185.218632,1320.180615,1047.180615,1156.636789927011
0.804020101,1261.3646880000001,1432.2346539999999,1180.464688,1313.434654,1040.434654,1149.890828927011
0.9045226129999999,1256.557308,1425.4743230000001,1175.657308,1306.674323,1033.674323,1143.130497927011
1.005025126,1251.69649,1418.699624,1170.79649,1299.8996240000001,1026.8996240000001,1136.3557989270112
1.1055276379999999,1246.782235,1411.9105550000002,1165.882235,1293.110555,1020.110555,1129.566729927011
1.206030151,1241.8145439999998,1405.107116,1160.914544,1286.307116,1013.307116,1122.763290927011
1.306532663,1236.793415,1398.289309,1155.893415,1279.489309,1006.489309,1115.945483927011
1.407035176,1231.718849,1391.457132,1150.818849,1272.657132,999.657132,1109.113306927011
1.5075376880000002,1226.590846,1384.610586,1145.6908460000002,1265.8105859999998,992.8105859999998,1102.2667609270109
1.608040201,1221.409406,1377.74967,1140.5094060000001,1258.94967,985.94967,1095.405844927011
1.708542714,1216.174529,1370.874385,1135.2745289999998,1252.074385,979.0743849999999,1088.530559927011
1.8090452259999998,1210.886215,1363.984731,1129.9862150000001,1245.184731,972.184731,1081.640905927011
1.909547739,1205.544465,1357.080707,1124.644465,1238.2807070000001,965.2807070000001,1074.7368819270112
2.010050251,1200.149277,1350.1623140000002,1119.249277,1231.362314,958.362314,1067.818488927011
2.110552764,1194.7006509999999,1343.229552,1113.800651,1224.429552,951.4295520000001,1060.885726927011
2.2110552759999997,1189.198589,1336.28242,1108.298589,1217.4824199999998,944.4824199999998,1053.9385949270109
2.311557789,1183.64309,1329.320919,1102.74309,1210.520919,937.520919,1046.977093927011
2.412060302,1178.034154,1322.345049,1097.1341539999999,1203.545049,930.5450490000001,1040.001223927011
2.5125628140000003,1172.371781,1315.354809,1091.471781,1196.554809,923.554809,1033.010983927011
2.6130653269999997,1166.6559710000001,1308.3502,1085.755971,1189.5502,916.5501999999999,1026.006374927011
2.713567839,1160.886724,1301.331222,1079.986724,1182.531222,909.5312220000001,1018.9873969270111
2.814070352,1155.064039,1294.297874,1074.164039,1175.497874,902.4978739999999,1011.954048927011
2.9145728639999997,1149.187918,1287.250157,1068.287918,1168.450157,895.450157,1004.906331927011
3.015075377,1143.25836,1280.188071,1062.35836,1161.388071,888.3880710000001,997.8442459270111
3.115577889,1137.275364,1273.111615,1056.375364,1154.311615,881.3116150000001,990.7677899270111
3.216080402,1131.238932,1266.02079,1050.338932,1147.22079,874.2207900000001,983.6769649270111
3.316582915,1125.149062,1258.915596,1044.2490619999999,1140.115596,867.1155960000001,976.5717709270111
3.417085427,1119.005756,1251.796032,1038.1057560000002,1132.996032,859.996032,969.452206927011
3.51758794,1112.809012,1244.6620990000001,1031.9090119999998,1125.862099,852.862099,962.318273927011
3.6180904519999997,1106.558832,1237.513797,1025.658832,1118.713797,845.7137970000001,955.1699719270111
3.718592965,1100.255214,1230.351125,1019.355214,1111.551125,838.551125,948.007299927011
3.819095477,1093.89816,1223.174084,1012.99816,1104.374084,831.374084,940.8302589270111
3.91959799,1087.487668,1215.982674,1006.587668,1097.1826740000001,824.1826740000001,933.6388489270112
4.020100503,1081.023739,1208.776895,1000.1237390000001,1089.976895,816.976895,926.433069927011
4.120603015,1074.506374,1201.5567460000002,993.6063736,1082.756746,809.756746,919.212920927011
4.221105528,1067.935571,1194.3222269999999,987.0355707999998,1075.522227,802.5222269999999,911.978401927011
4.32160804,1061.311331,1187.0733400000001,980.411331,1068.27334,795.27334,904.729514927011
4.422110553,1054.633654,1179.810083,973.7336542000002,1061.010083,788.0100829999999,897.4662579270109
4.522613065,1047.90254,1172.5324560000001,967.0025402999999,1053.732456,780.732456,890.188630927011
4.623115578,1041.117989,1165.2404609999999,960.2179894,1046.440461,773.4404609999999,882.896635927011
4.72361809,1034.280002,1157.9340960000002,953.3800015,1039.134096,766.134096,875.590270927011
4.824120603,1027.388577,1150.613361,946.4885766000001,1031.813361,758.813361,868.269535927011
4.924623116,1020.443715,1143.278258,939.5437145999999,1024.478258,751.4782580000001,860.9344329270111
5.0251256280000005,1013.445416,1135.928785,932.5454154999999,1017.128785,744.128785,853.584959927011
5.125628141,1006.3936789999999,1128.564942,925.4936795,1009.764942,736.764942,846.221116927011
5.226130653,999.2885064,1121.186731,918.3885064,1002.386731,729.386731,838.8429059270111
5.326633166000001,992.1298962000001,1113.79415,911.2298962000001,994.9941495999999,721.9941495999999,831.4503245270109
5.427135678,984.917849,1106.387199,904.0178490000001,987.5871992999998,714.5871992999998,824.0433742270109
5.527638191,977.6523648,1098.96588,896.7523648,980.1658796,707.1658796,816.6220545270111
5.628140704,970.3334436000001,1091.530191,889.4334436,972.7301907,699.7301907,809.186365627011
5.728643216,962.9610853,1084.080132,882.0610853000001,965.2801322999999,692.2801322999999,801.7363072270109
5.8291457289999995,955.53529,1076.6157050000002,874.63529,957.8157047,684.8157047,794.271879627011
5.929648241000001,948.0560577,1069.136908,867.1560576999999,950.3369077,677.3369077,786.793082627011
6.030150754,940.5233883,1061.643741,859.6233883,942.8437412999999,669.8437412999999,779.299916227011
6.130653266,932.9372819,1054.1362060000001,852.0372819,935.3362057,662.3362057,771.7923806270111
6.231155779,925.2977384,1046.614301,844.3977384,927.8143006000001,654.8143006000001,764.2704755270112
6.331658291,917.6047580000001,1039.078026,836.704758,920.2780263000001,647.2780263000001,756.7342012270111
6.432160804,909.8583403999999,1031.527383,828.9583404,912.7273825999999,639.7273825999999,749.183557527011
6.532663317000001,902.0584858999999,1023.96237,821.1584859000001,905.1623696,632.1623696,741.6185445270111
6.633165829,894.2051943,1016.382987,813.3051943,897.5829873,624.5829873,734.039162227011
6.7336683420000005,886.2984657,1008.789236,805.3984657000001,889.9892356,616.9892356,726.4454105270111
6.834170854,878.3383,1001.1811150000001,797.4383,882.3811145999999,609.3811145999999,718.837289527011
6.934673367,870.3246974,993.5586242999999,789.4246973999999,874.7586242999998,601.7586242999998,711.2147992270109
7.035175879,862.2576575999999,985.9217646,781.3576576,867.1217646,594.1217646,703.577939527011
7.135678392000001,854.1371809000001,978.2705356,773.2371809,859.4705356000001,586.4705356000001,695.9267105270111
7.236180905,845.9632671,970.6049372000001,765.0632671,851.8049372000002,578.8049372000002,688.2611121270112
7.336683417000001,837.7359163,962.9249696,756.8359163,844.1249696000001,571.1249696000001,680.5811445270111
7.43718593,829.4551284,955.2306325999999,748.5551284,836.4306326000001,563.4306326000001,672.8868075270111
7.537688442,821.1209035,947.5219262,740.2209035,828.7219262,555.7219262,665.178101127011
7.638190955,812.7332416,939.7988505000001,731.8332416000001,820.9988505,547.9988505,657.455025427011
7.738693467,804.2921426,932.0614055,723.3921425999999,813.2614055,540.2614055,649.7175804270111
7.83919598,795.7976066000001,924.3095912,714.8976066,805.5095912,532.5095912,641.9657661270111
7.939698492000001,787.2496336,916.5434075,706.3496336000001,797.7434075,524.7434075,634.199582427011
8.040201005,778.6482235000001,908.7628545,697.7482235,789.9628545,516.9628545,626.4190294270111
8.140703517999999,769.9933764,900.9679321000001,689.0933763999999,782.1679321,509.16793210000003,618.6241070270111
8.24120603,761.2850923,893.1586404,680.3850923,774.3586404,501.3586404,610.814815327011
8.341708543,752.5233711,885.3349794,671.6233711,766.5349794,493.5349794,602.991154327011
8.442211055,743.7082128999999,877.4969491,662.8082129,758.6969491,485.6969491,595.153124027011
8.542713568,734.8396177,869.6445493999998,653.9396177,750.8445494,477.8445494,587.300724327011
8.64321608,725.9175853999999,861.7777804,645.0175853999999,742.9777803999999,469.9777803999999,579.433955327011
8.743718592999999,716.9421161,853.896642,636.0421161,735.096642,462.096642,571.552816927011
8.844221106,707.9132097999999,846.0011343,627.0132097999999,727.2011342999999,454.2011342999999,563.657309227011
8.944723618,698.8308664,838.0912572999999,617.9308664,719.2912573,446.2912573,555.747432227011
9.045226131,689.6950860000001,830.1670109,608.7950860000001,711.3670109,438.36701089999997,547.823185827011
9.145728643,680.5058684999999,822.2283952,599.6058684999999,703.4283952000001,430.42839520000007,539.8845701270111
9.246231156,671.2632141,814.2754102000001,590.3632140999999,695.4754102,422.47541020000006,531.9315851270111
9.346733667999999,661.9671225,806.3080559,581.0671225,687.5080558999999,414.50805589999993,523.964230827011
9.447236181000001,652.617594,798.3263322,571.7175940000001,679.5263322000001,406.52633220000007,515.9825071270111
9.547738693,643.2146284,790.3302391,562.3146284,671.5302391,398.5302391,507.98641402701105
9.648241206,633.7582258,782.3197767999999,552.8582257999999,663.5197767999999,390.51977679999993,499.97595172701097
9.748743719,624.2483862,774.2949451000001,543.3483862,655.4949451,382.4949451,491.95112002701103
9.849246231,614.6851095,766.255744,533.7851095,647.4557440000001,374.4557440000001,483.91191892701113
9.949748743999999,605.0683957,758.2021737000001,524.1683956999999,639.4021737,366.40217370000005,475.8583486270111
10.05025126,595.398245,750.134234,514.498245,631.334234,358.33423400000004,467.7904089270111
10.15075377,585.6746572000001,742.051925,504.7746572,623.251925,350.251925,459.70809992701106
10.25125628,575.8976324,733.9552466,494.9976324,615.1552466,342.15524660000005,451.6114215270111
10.35175879,566.0671705,725.8441989,485.1671705,607.0441989,334.04419889999997,443.500373827011
10.45226131,556.1832716,717.7187818,475.2832716,598.9187818,325.91878180000003,435.37495672701107
10.55276382,546.2459357000001,709.5789955,465.3459357,590.7789955,317.77899549999995,427.235170427011
10.65326633,536.2551627,701.4248397999999,455.35516270000005,582.6248397999999,309.6248397999999,419.08101472701094
10.75376884,526.2109528,693.2563147000001,445.3109528,574.4563147000001,301.4563147000001,410.91248962701115
10.85427136,516.1133057,685.0734204,435.2133057,566.2734204,293.27342039999996,402.729595327011
10.95477387,505.96222170000004,676.8761567,425.0622217,558.0761567000001,285.07615670000007,394.5323316270111
11.05527638,495.7577006,668.6645236,414.8577006,549.8645236000001,276.8645236000001,386.32069852701113
11.15577889,485.49974239999995,660.4385212000001,404.59974239999997,541.6385212,268.6385212,378.09469612701105
11.25628141,475.18834730000003,652.1981495,394.2883473,533.3981495,260.39814950000005,369.8543244270111
11.35678392,464.82351510000007,643.9434085,383.92351510000003,525.1434085,252.14340849999996,361.599583427011
11.45728643,454.40524580000005,635.6742981000001,373.5052458,516.8742981,243.87429810000003,353.33047302701107
11.55778894,443.9335396000001,627.3908184,363.03353960000004,508.59081839999993,235.59081839999993,345.04699332701097
11.65829146,433.40839630000005,619.0929694,352.5083963,500.2929694,227.2929694,336.74914432701104
11.75879397,422.82981589999997,610.780751,341.9298159,491.980751,218.980751,328.43692592701103
11.85929648,412.1977985,602.4541632999999,331.2977985,483.65416330000005,210.65416330000005,320.1103382270111
11.95979899,401.5123441,594.1132062,320.61234410000003,475.31320619999997,202.31320619999997,311.769381127011
12.06030151,390.77345269999995,585.7578798999999,309.8734527,466.95787989999997,193.95787989999997,303.414054827011
12.16080402,379.9811242,577.3881841,299.08112420000003,458.5881841,185.58818409999998,295.044359027011
12.26130653,369.1353587,569.0041191,288.2353587,450.20411910000007,177.20411910000007,286.6602940270111
12.36180905,358.2361562,560.6056847,277.3361562,441.80568470000003,168.80568470000003,278.26185962701106
12.46231156,347.28351660000004,552.1928809999999,266.38351659999995,433.39288099999993,160.39288099999993,269.84905592701097
12.56281407,336.27744,543.7657078999999,255.37743999999998,424.9657079,151.96570789999998,261.421882827011
12.66331658,325.21792630000004,535.3241656,244.31792630000004,416.52416560000006,143.52416560000006,252.9803405270111
12.7638191,314.1049756,526.8682537999999,233.2049756,408.06825380000004,135.06825380000004,244.52442872701107
12.86432161,302.93858789999996,518.3979728,222.0385879,399.59797280000004,126.59797280000004,236.05414772701107
12.96482412,291.71876319999996,509.91332239999997,210.81876319999998,391.1133224,118.11332240000002,227.56949732701105
13.06532663,280.4455014,501.41430269999995,199.5455014,382.6143027,109.6143027,219.07047762701103
13.16582915,269.1188026,492.90091359999997,188.21880259999998,374.1009136,101.10091360000001,210.55708852701105
13.26633166,257.7386667,484.37315520000004,176.83866669999998,365.5731552,92.57315519999997,202.029330127011
13.36683417,246.3050938,475.83102750000006,165.4050938,357.0310275,84.0310275,193.48720242701103
13.46733668,234.8180839,467.27453039999995,153.91808390000003,348.47453039999994,75.47453039999994,184.93070532701097
13.5678392,223.2776369,458.70366399999995,142.3776369,339.903664,66.90366399999999,176.35983892701103
13.66834171,211.6837529,450.1184283,130.7837529,331.31842830000005,58.31842830000005,167.77460322701108
13.76884422,200.03643190000003,441.5188233,119.13643190000002,322.7188233,49.7188233,159.17499822701103
13.86934673,188.33567380000002,432.9048489,107.43567379999999,314.1048489,41.10484889999998,150.561023827011
13.96984925,176.5814788,424.2765051,95.68147875,305.47650510000005,32.476505100000054,141.9326800270111
14.07035176,164.7738466,415.6337921,83.87384662,296.8337921,23.833792099999982,133.28996702701102
