Ce,Ti,Hf,Sn,Ge,Y,Sc,Yb,Er,Sm,Nd,Gd,La,In,Nb,Ta,Zr,en_p,ea,valence,pettifor,rad_ionic,rad_slater,rad_clementi,T,a,b,c,beta,ref
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,1.3027,0.43562,4,0.752525,0.8569,1.589,1.9976,-198,5.209536,5.218163,5.380325,98.93554,Eddie
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,1.3027,0.43562,4,0.752525,0.8569,1.589,1.9976,-143,5.209281,5.218507,5.380822,98.92059,Eddie
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,1.3027,0.43562,4,0.752525,0.8569,1.589,1.9976,-88,5.20894,5.217783,5.381701,98.89842,Eddie
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,1.3027,0.43562,4,0.752525,0.8569,1.589,1.9976,-33,5.209523,5.218849,5.384321,98.87921,Eddie
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,1.3027,0.43562,4,0.752525,0.8569,1.589,1.9976,25,5.2111,5.218713,5.386776,98.8448,Eddie
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,1.3027,0.43562,4,0.752525,0.8569,1.589,1.9976,25,5.209926,5.218311,5.386888,98.83801,Eddie
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,1.3027,0.43562,4,0.752525,0.8569,1.589,1.9976,47,5.210092,5.218615,5.387745,98.83534,Eddie
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,1.3027,0.43562,4,0.752525,0.8569,1.589,1.9976,67,5.210093,5.218127,5.387718,98.82382,Eddie
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,1.3027,0.43562,4,0.752525,0.8569,1.589,1.9976,87,5.21085,5.220321,5.388878,98.79577,Eddie
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,1.3027,0.43562,4,0.752525,0.8569,1.589,1.9976,107,5.210609,5.218195,5.390029,98.79143,Eddie
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,1.3027,0.43562,4,0.752525,0.8569,1.589,1.9976,117,5.211002,5.219077,5.390484,98.78058,Eddie
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,1.3027,0.43562,4,0.752525,0.8569,1.589,1.9976,127,5.21221,5.218209,5.39201,98.78084,Eddie
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,1.3027,0.43562,4,0.752525,0.8569,1.589,1.9976,137,5.211955,5.219432,5.391601,98.76614,Eddie
13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.5,1.30165,0.43599,4,0.7522375,0.85755,1.5905,1.9952,-213,5.211771,5.212122,5.384773,98.86913,Eddie
13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.5,1.30165,0.43599,4,0.7522375,0.85755,1.5905,1.9952,-233,5.211045,5.211748,5.384974,98.87047,Eddie
13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.5,1.30165,0.43599,4,0.7522375,0.85755,1.5905,1.9952,-253,5.211991,5.211499,5.38497,98.86753,Eddie
13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.5,1.30165,0.43599,4,0.7522375,0.85755,1.5905,1.9952,-198,5.212512,5.212753,5.384431,98.87546,Eddie
13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.5,1.30165,0.43599,4,0.7522375,0.85755,1.5905,1.9952,-143,5.212374,5.213066,5.385334,98.86322,Eddie
13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.5,1.30165,0.43599,4,0.7522375,0.85755,1.5905,1.9952,-88,5.213028,5.213543,5.3869,98.84175,Eddie
13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.5,1.30165,0.43599,4,0.7522375,0.85755,1.5905,1.9952,-33,5.214424,5.214225,5.389112,98.8138,Eddie
13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.5,1.30165,0.43599,4,0.7522375,0.85755,1.5905,1.9952,25,5.214646,5.214817,5.3904483,98.78445,Eddie
0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,96,1.3256,0.42124,3.96,0.756,0.84716,1.56,2.0624,18.2405645,5.168806121,5.214100827,5.327690314,99.21663237,Urabe1988
0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,96,1.3256,0.42124,3.96,0.756,0.84716,1.56,2.0624,198.194897,5.175669151,5.219572324,5.338734394,99.22136488,Urabe1988
0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,96,1.3256,0.42124,3.96,0.756,0.84716,1.56,2.0624,401.2678049,5.183912959,5.220847716,5.350464561,99.14819959,Urabe1988
0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,96,1.3256,0.42124,3.96,0.756,0.84716,1.56,2.0624,503.1946043,5.188035939,5.217303287,5.355282232,99.03106996,Urabe1988
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1.33,0.426,4,0.76,0.84,1.55,2.06,25,5.146267325,5.209777778,5.313370787,99.22222222,Toraya1989
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1.33,0.426,4,0.76,0.84,1.55,2.06,25,5.147162898,5.211111111,5.314269663,99.2,Toraya1989
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1.33,0.426,4,0.76,0.84,1.55,2.06,25,5.147162898,5.212,5.315617978,99.2,Toraya1989
0,0,0,0,0,3.849942796,0,0,0,0,0,0,0,0,0,0,96.1500572,1.325765063,0.421418568,3.961500572,0.756150057,0.846891398,1.559624857,2.062309966,25,5.162308512,5.213111111,5.321685393,99.06666667,Toraya1989
0,0,0,0,0,3.850702193,0,0,0,0,0,0,0,0,0,0,96.14929781,1.325764228,0.421417664,3.961492978,0.756149298,0.846892757,1.559626755,2.062310421,25,5.162980192,5.213777778,5.32258427,99.04,Toraya1989
0,0,0,0,0,4.800149338,0,0,0,0,0,0,0,0,0,0,95.19985066,1.324719836,0.420287822,3.951998507,0.755199851,0.848592267,1.562000373,2.06288009,25,5.166150048,5.213333333,5.324157303,99.00444444,Toraya1989
0,0,0,0,0,5.602770245,0,0,0,0,0,0,0,0,0,0,94.39722976,1.323836953,0.419332703,3.943972298,0.75439723,0.850028959,1.564006926,2.063361662,25,5.166402559,5.213777778,5.327303371,98.99111111,Toraya1989
0,0,0,0,0,5.614004026,0,0,0,0,0,0,0,0,0,0,94.38599597,1.323824596,0.419319335,3.94385996,0.754385996,0.850049067,1.56403501,2.063368402,25,5.167969811,5.212,5.326179775,98.97333333,Toraya1989
0,0,0,0,0,5.783178558,0,0,0,0,0,0,0,0,0,0,94.21682144,1.323638504,0.419118018,3.942168214,0.754216821,0.85035189,1.564457946,2.063469907,25,5.168648224,5.212888889,5.325730337,98.96888889,Toraya1989
0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,97,1.3267,0.42243,3.97,0.757,0.84537,1.5575,2.0618,527,5.183774,5.215347,5.354462,98.90268,Eddie
0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,97,1.3267,0.42243,3.97,0.757,0.84537,1.5575,2.0618,567,5.184449,5.216008,5.357575,98.86027,Eddie
0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,97,1.3267,0.42243,3.97,0.757,0.84537,1.5575,2.0618,587,5.186934,5.215998,5.358931,98.84193,Eddie
0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,97,1.3267,0.42243,3.97,0.757,0.84537,1.5575,2.0618,597,5.186253,5.215793,5.359401,98.84029,Eddie
0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,97,1.3267,0.42243,3.97,0.757,0.84537,1.5575,2.0618,607,5.186921,5.215647,5.3597,98.82882,Eddie
0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,97,1.3267,0.42243,3.97,0.757,0.84537,1.5575,2.0618,427,5.180927,5.215634,5.34908,98.94615,Eddie
0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,97,1.3267,0.42243,3.97,0.757,0.84537,1.5575,2.0618,377,5.178441,5.215314,5.346391,98.99967,Eddie
0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,97,1.3267,0.42243,3.97,0.757,0.84537,1.5575,2.0618,327,5.178101,5.217081,5.343214,99.06284,Eddie
0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,96,1.3256,0.42124,3.96,0.756,0.84716,1.56,2.0624,327,5.180463,5.213401,5.344293,99.01121,Eddie
0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,96,1.3256,0.42124,3.96,0.756,0.84716,1.56,2.0624,307,5.18001,5.213833,5.342932,99.04235,Eddie
0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,96,1.3256,0.42124,3.96,0.756,0.84716,1.56,2.0624,287,5.179022,5.215137,5.341486,99.07091,Eddie
0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,96,1.3256,0.42124,3.96,0.756,0.84716,1.56,2.0624,25,5.169283,5.214038,5.324183,99.15385,Eddie
0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,1.351,0.3913,4,0.763,0.83,1.535,2.03,25,5.110520455,5.154019812,5.317831192,99.01453838,Noguchi1968
0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,1.3615,0.37395,4,0.7645,0.825,1.5275,2.015,25,5.096777884,5.134893147,5.318582395,98.83557264,Noguchi1968
0,17.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.5,1.36675,0.365275,4,0.76525,0.8225,1.52375,2.0075,25,5.090461689,5.122658054,5.320297258,98.75152455,Noguchi1968
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1.33,0.426,4,0.76,0.84,1.55,2.06,25,5.1499,5.1991,5.3267,99.124,Troitzsch2006
0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,1.3405,0.40865,4,0.7615,0.835,1.5425,2.045,25,5.135,5.1927,5.312,99.166,Troitzsch2006
0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,1.351,0.3913,4,0.763,0.83,1.535,2.03,25,5.1217,5.17,5.3128,99.079,Troitzsch2006
0,14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.7,1.36003,0.376379,4,0.76429,0.8257,1.52855,2.0171,25,5.1083,5.1456,5.316,98.929,Troitzsch2006
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1.33,0.426,4,0.76,0.84,1.55,2.06,25,5.14675,5.20533,5.31857,99.1729,Gionco2013
0,0.1998002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.8001998,1.33041958,0.425306693,4,0.76005994,0.8398002,1.5497003,2.059400599,25,5.15081,5.21196,5.32144,99.1873,Gionco2013
0,0.99009901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.00990099,1.332079208,0.422564356,4,0.76029703,0.839009901,1.548514851,2.057029703,25,5.14907,5.2043,5.32347,99.1799,Gionco2013
5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,93,1.3173,0.42732,3.98,0.755125,0.85008,1.57,2.0372,20,5.181587856,5.22581844,5.341751869,99.18278865,Urabe1988
5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,93,1.3173,0.42732,3.98,0.755125,0.85008,1.57,2.0372,200,5.189505841,5.224396116,5.353517213,99.13185129,Urabe1988
5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,93,1.3173,0.42732,3.98,0.755125,0.85008,1.57,2.0372,400,5.194671017,5.224067157,5.365551345,98.92702198,Urabe1988
5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,92,1.3162,0.42613,3.97,0.754125,0.85187,1.5725,2.0378,20,5.188456417,5.228565706,5.343950077,99.18498638,Urabe1988
5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,92,1.3162,0.42613,3.97,0.754125,0.85187,1.5725,2.0378,150,5.193090745,5.229080323,5.354629578,99.12756349,Urabe1988
5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,92,1.3162,0.42613,3.97,0.754125,0.85187,1.5725,2.0378,300,5.199368683,5.226841341,5.365303933,98.99098106,Urabe1988
3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,94,1.3204,0.42465,3.97,0.755275,0.84927,1.5665,2.0474,20,5.174720088,5.223620627,5.339279725,99.13663627,Urabe1988
3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,94,1.3204,0.42465,3.97,0.755275,0.84927,1.5665,2.0474,250,5.184546511,5.225480376,5.351305545,99.0921781,Urabe1988
3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,94,1.3204,0.42465,3.97,0.755275,0.84927,1.5665,2.0474,450,5.192458953,5.221030913,5.365262368,98.97298752,Urabe1988
7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,91,1.3131,0.4288,3.98,0.753975,0.85268,1.576,2.0276,20,5.18983005,5.229939734,5.351368091,99.15202039,Urabe1988
7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,91,1.3131,0.4288,3.98,0.753975,0.85268,1.576,2.0276,150,5.194189652,5.23127774,5.36094829,99.07042245,Urabe1988
7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,91,1.3131,0.4288,3.98,0.753975,0.85268,1.576,2.0276,300,5.202390675,5.227665521,5.371073191,98.99977199,Urabe1988
0,0,0,0,0,9.090909091,0,0,0,0,0,0,0,0,9.090909091,0,81.81818182,1.344545455,0.457636364,4,0.756363636,0.847181818,1.563636364,2.058181818,25,5.167,5.22,5.337,99.06,Li1994_III
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1.33,0.426,4,0.76,0.84,1.55,2.06,25,5.1489,5.2218,5.3147,99.203,Yashima1997
0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,98,1.3306,0.42124,3.98,0.7582,0.8406,1.551,2.0556,25,5.1521,5.207,5.3158,99.207,Yashima1997
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,98,1.3254,0.42748,3.98,0.7577,0.8429,1.554,2.0632,25,5.156,5.2104,5.318,99.165,Yashima1997
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,98,1.3282,0.42748,3.98,0.7584,0.84328,1.554,2.064,25,5.157,5.2111,5.3196,99.163,Yashima1997
0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,98,1.3278,0.42362,3.98,0.758,0.84358,1.555,2.0612,25,5.158,5.2113,5.3212,99.152,Yashima1997
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,98,1.3268,0.42748,3.98,0.75865,0.84478,1.556,2.0664,25,5.1602,5.2132,5.3233,99.117,Yashima1997
0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,98,1.3262,0.42748,3.98,0.75875,0.84538,1.556,2.06,25,5.162,5.2146,5.3247,99.067,Yashima1997
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,98,1.3254,0.42748,3.98,0.7589,0.8464,1.558,2.0578,25,5.162,5.2181,5.3244,99.03,Yashima1997
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,1.3258,0.42748,4,0.75885,0.8426,1.556,2.0504,25,5.1559,5.2157,5.3218,99.173,Yashima1997
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1.33,0.426,4,0.76,0.84,1.55,2.06,25,5.14,5.2,5.31,99.24,Ruh1968
0,0,12.76681717,0,0,0,0,0,0,0,0,0,0,0,0,0,87.23318283,1.326169955,0.371613359,4,0.761915023,0.838723318,1.55,2.062553363,25,5.133,5.179,5.301,99.27,Ruh1968
0,0,28.07173417,0,0,0,0,0,0,0,0,0,0,0,0,0,71.92826583,1.32157848,0.306414412,4,0.76421076,0.837192827,1.55,2.065614347,25,5.127,5.177,5.299,99.28,Ruh1968
0,0,46.75516858,0,0,0,0,0,0,0,0,0,0,0,0,0,53.24483142,1.315973449,0.226822982,4,0.767013275,0.835324483,1.55,2.069351034,25,5.126,5.171,5.297,99.28,Ruh1968
0,0,70.07461159,0,0,0,0,0,0,0,0,0,0,0,0,0,29.92538841,1.308977617,0.127482155,4,0.770511192,0.832992539,1.55,2.074014922,25,5.123,5.17,5.294,99.14,Ruh1968
0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,4,0.775,0.83,1.55,2.08,25,5.128,5.167,5.294,99.18,Ruh1968
0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,4,0.775,0.83,1.55,2.08,19.87376922,5.118884373,5.180450068,5.288862675,99.25143394,Haggerty2011
0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,4,0.775,0.83,1.55,2.08,394.8141902,5.130433687,5.178229318,5.311177272,99.1056637,Haggerty2011
0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,4,0.775,0.83,1.55,2.08,723.8171309,5.145508113,5.182701937,5.332200338,99.00827609,Haggerty2011
0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,4,0.775,0.83,1.55,2.08,801.1344394,5.149832749,5.185132031,5.337769355,98.99088297,Haggerty2011
0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,4,0.775,0.83,1.55,2.08,882.657292,5.15528314,5.182944286,5.346110042,98.93224163,Haggerty2011
0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,4,0.775,0.83,1.55,2.08,972.5912325,5.156446165,5.185207471,5.349354368,98.88492531,Haggerty2011
0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,4,0.775,0.83,1.55,2.08,1031.087455,5.160359943,5.187069138,5.35423831,98.8642739,Haggerty2011
0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,4,0.775,0.83,1.55,2.08,1087.542768,5.162231431,5.188500988,5.357429537,98.83366945,Haggerty2011
0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,4,0.775,0.83,1.55,2.08,1135.928091,5.164989688,5.187998732,5.36221739,98.79004705,Haggerty2011
0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,4,0.775,0.83,1.55,2.08,1206.160675,5.168440274,5.186693359,5.368121144,98.71841004,Haggerty2011
0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,4,0.775,0.83,1.55,2.08,1260.509243,5.172038757,5.186673681,5.373470371,98.66396812,Haggerty2011
0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,4,0.775,0.83,1.55,2.08,1314.857812,5.174319936,5.186904522,5.37791928,98.61448031,Haggerty2011
0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,4,0.775,0.83,1.55,2.08,1375.288244,5.176963132,5.187147223,5.382924155,98.55139254,Haggerty2011
0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,4,0.775,0.83,1.55,2.08,1423.554949,5.178561386,5.186324341,5.386743391,98.4883162,Haggerty2011
0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,4,0.775,0.83,1.55,2.08,1477.541954,5.182551834,5.186342206,5.392739278,98.42016662,Haggerty2011
0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,4,0.775,0.83,1.55,2.08,1532.749783,5.185208196,5.185753348,5.397376639,98.34242914,Haggerty2011
0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,4,0.775,0.83,1.55,2.08,1589.340918,5.190506263,5.1853991,5.402687908,98.25511869,Haggerty2011
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1.33,0.426,4,0.76,0.84,1.55,2.06,26.96912988,5.149072456,5.202824906,5.323202509,99.14879253,Haggerty2011
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1.33,0.426,4,0.76,0.84,1.55,2.06,226.0268344,5.1561492,5.206390751,5.33374992,99.10740665,Haggerty2011
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1.33,0.426,4,0.76,0.84,1.55,2.06,271.2684622,5.157271899,5.206469572,5.335841718,99.09542925,Haggerty2011
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1.33,0.426,4,0.76,0.84,1.55,2.06,318.3235941,5.158625,5.206881869,5.337646525,99.08311804,Haggerty2011
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1.33,0.426,4,0.76,0.84,1.55,2.06,354.8320193,5.160499922,5.208308449,5.340613754,99.07291683,Haggerty2011
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1.33,0.426,4,0.76,0.84,1.55,2.06,413.8895217,5.162699458,5.208954467,5.343515933,99.05526896,Haggerty2011
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1.33,0.426,4,0.76,0.84,1.55,2.06,473.5724398,5.165043889,5.209980964,5.347071598,99.03937324,Haggerty2011
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1.33,0.426,4,0.76,0.84,1.55,2.06,523.2210341,5.167272031,5.211348702,5.35003967,99.02122605,Haggerty2011
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1.33,0.426,4,0.76,0.84,1.55,2.06,559.5712438,5.168447355,5.211753636,5.351641361,99.01104441,Haggerty2011
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1.33,0.426,4,0.76,0.84,1.55,2.06,620.1040768,5.171275072,5.212524418,5.355495777,98.99102577,Haggerty2011
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1.33,0.426,4,0.76,0.84,1.55,2.06,665.2569671,5.172491094,5.213607093,5.357574993,98.97593494,Haggerty2011
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1.33,0.426,4,0.76,0.84,1.55,2.06,716.8369921,5.174753065,5.214469797,5.360811924,98.95692832,Haggerty2011
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1.33,0.426,4,0.76,0.84,1.55,2.06,762.4392024,5.176847692,5.215166775,5.363344891,98.93974926,Haggerty2011
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1.33,0.426,4,0.76,0.84,1.55,2.06,803.8702604,5.179296885,5.215920727,5.366794264,98.92575923,Haggerty2011
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1.33,0.426,4,0.76,0.84,1.55,2.06,843.757628,5.180969271,5.21628009,5.368886351,98.90334439,Haggerty2011
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1.33,0.426,4,0.76,0.84,1.55,2.06,886.0645067,5.183083754,5.215589699,5.372579283,98.87279758,Haggerty2011
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1.33,0.426,4,0.76,0.84,1.55,2.06,928.3713853,5.185128999,5.215409164,5.375330112,98.84254121,Haggerty2011
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1.33,0.426,4,0.76,0.84,1.55,2.06,970.678264,5.186872817,5.215621046,5.378625733,98.81079456,Haggerty2011
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1.33,0.426,4,0.76,0.84,1.55,2.06,1012.985143,5.189278292,5.215949489,5.381880521,98.77991913,Haggerty2011
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1.33,0.426,4,0.76,0.84,1.55,2.06,1055.292021,5.190769422,5.216237318,5.385212975,98.74487767,Haggerty2011
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1.33,0.426,4,0.76,0.84,1.55,2.06,1097.5989,5.191971554,5.216187342,5.388235575,98.70142684,Haggerty2011
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1.33,0.426,4,0.76,0.84,1.55,2.06,1139.905779,5.194133306,5.216131646,5.391723046,98.66308269,Haggerty2011
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1.33,0.426,4,0.76,0.84,1.55,2.06,1182.212657,5.195684229,5.21617527,5.394763134,98.62446385,Haggerty2011
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1.33,0.426,4,0.76,0.84,1.55,2.06,25,5.1489,5.2118,5.3147,99.203,Fujimori1998
0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,98,1.3306,0.42124,3.98,0.7582,0.8406,1.551,2.0556,25,5.1521,5.207,5.3158,99.207,Fujimori1998
0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,96,1.3312,0.41648,3.96,0.7564,0.8412,1.552,2.0512,25,5.1554,5.2036,5.3144,99.108,Fujimori1998
0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,94,1.3318,0.41172,3.94,0.7546,0.8418,1.553,2.0468,25,5.1629,5.194,5.3096,98.824,Fujimori1998
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1.33,0.426,4,0.76,0.84,1.55,2.06,25,5.1462,5.2042,5.312,99.243,Gaillard-Allemand2002
0,0,0,3.36,0,0,0,0,0,0,0,0,0,0,0,0,96.64,1.351168,0.4520064,4,0.796288,0.838992,1.54664,2.039504,25,5.1416,5.1903,5.3207,99.108,Gaillard-Allemand2002
0,0,0,6.78,0,0,0,0,0,0,0,0,0,0,0,0,93.22,1.372714,0.4784772,4,0.833224,0.837966,1.54322,2.018642,25,5.1423,5.1817,5.3295,98.925,Gaillard-Allemand2002
0,0,0,10.77,0,0,0,0,0,0,0,0,0,0,0,0,89.23,1.397851,0.5093598,4,0.876316,0.836769,1.53923,1.994303,25,5.1454,5.1653,5.3408,98.737,Gaillard-Allemand2002
0,0,0,13.8,0,0,0,0,0,0,0,0,0,0,0,0,86.2,1.41694,0.532812,4,0.90904,0.83586,1.5362,1.97582,25,5.1368,5.1516,5.3453,98.469,Gaillard-Allemand2002
